Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Actinobacteria	201174	114115.83	71.04900000000005	3188030
Bacilli	91061	21674.370000000003	13.498000000000001	257807
Gammaproteobacteria	1236	13642.26	8.494000000000002	82897
Alphaproteobacteria	28211	5346.61	3.3280000000000007	68644
Negativicutes	909932	3065.89	1.908	15292
Betaproteobacteria	28216	1703.5	1.0579999999999998	15059
Flavobacteriia	117743	382.85	0.239	3951
Bacteroidia	200643	344.12	0.214	1895
Coriobacteriia	84998	263.87	0.16499999999999998	3767
Erysipelotrichia	526524	79.59	0.05	642
