Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Brachybacterium	43668	29575.300000000003	18.414	1354535
Microbacterium	33882	20521.999999999996	12.777000000000001	298085
Micrococcus	1269	16270.65	10.13	613651
Kocuria	57493	13913.82	8.661999999999999	302017
Actinomyces	1654	11139.599999999999	6.936	106225
Streptococcus	1301	10439.349999999999	6.501	53211
Janibacter	53457	9207.29	5.732	249174
Staphylococcus	1279	9119.060000000001	5.679	189604
Pseudomonas	286	8152.08	5.077000000000001	36158
Dietzia	37914	3726.04	2.32	137472
Veillonella	29465	3065.89	1.908	15292
Rothia	32207	2599.5699999999997	1.619	46836
Stenotrophomonas	40323	2138.91	1.332	38349
Paracoccus	265	1618.2599999999998	1.008	28865
Gordonia	2053	1356.71	0.845	59
Cellulosimicrobium	157920	1313.73	0.8180000000000001	10959
Bacillus	1386	1002.44	0.624	4067
Propionibacterium	1743	942.96	0.587	5252
Raoultella	160674	912.36	0.5680000000000001	581
Enhydrobacter	212791	817.07	0.509	7192
Corynebacterium	1716	815.1199999999999	0.508	6172
Acinetobacter	469	777.3499999999999	0.484	2623
Delftia	80865	559.11	0.348	1448
Methylobacterium	407	555.63	0.345	8332
Rhizobium	379	539.28	0.336	5460
Ochrobactrum	528	540.4200000000001	0.336	10826
Paenibacillus	44249	538.33	0.335	6761
Klebsiella	570	484.08	0.301	678
Serratia	613	460.43	0.28700000000000003	2293
Agrobacterium	357	442.71000000000004	0.275	4288
Neisseria	482	437.18	0.271	2100
Capnocytophaga	1016	382.85	0.239	3951
Brevibacterium	1696	348.82	0.217	13602
Gemella	1378	346.15	0.216	16
Prevotella	838	344.12	0.214	1895
Nesterenkonia	57494	334.46	0.208	8960
Scardovia	196081	331.08	0.20600000000000002	4743
Haemophilus	724	322.04	0.2	669
Brevundimonas	41275	317.44	0.198	218
Morococcus	212742	289.71	0.18	1271
Atopobium	1380	263.87	0.16499999999999998	3767
Knoellia	136099	254.98	0.159	27
Citricoccus	169133	253.6	0.158	16128
Granulicatella	117563	229.04	0.14300000000000002	4148
Propionibacteriaceae_u_g	31957	215.79	0.134	21
Bradyrhizobium	374	207.19	0.129	2019
Enterobacter	547	175.26	0.109	747
Achromobacter	222	175.23	0.109	4269
Mycobacterium	1763	155.92	0.097	3935
Bifidobacterium	1678	148.5	0.092	626
Aureimonas	414371	136.21	0.08499999999999999	9
Serinicoccus	265976	135.61	0.084	368
Kytococcus	57499	134.15	0.084	4720
Massilia	149698	130.88	0.08099999999999999	3330
Leucobacter	55968	120.36	0.075	4116
Mobilicoccus	984996	115.67	0.07200000000000001	146
Pantoea	53335	113.23	0.06999999999999999	114
Kingella	32257	111.39	0.06899999999999999	2641
Micrococcaceae_u_g	1268	107.35	0.067	103
Xanthomonadaceae_u_g	32033	106.52	0.066	685
Roseomonas	125216	91.99	0.056999999999999995	1416
Solobacterium	123375	79.59	0.05	642
Sphingobium	165695	80.41	0.05	19
Pseudonocardia	1847	76.75	0.048	98
