Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Pseudomonadales	72274	33633.049999999996	50.528	216688
Lactobacillales	186826	8568.230000000001	12.871999999999998	102769
Bacillales	1385	7217.209999999999	10.843000000000002	40671
Micrococcales	85006	6610.46	9.931	10941
Corynebacteriales	85007	5218.92	7.841	44169
Aeromonadales	135624	1310.9699999999998	1.9689999999999999	2911
Tissierellales	1737405	773.18	1.162	1541
Flavobacteriales	200644	635.06	0.954	12153
Enterobacterales	91347	576.0899999999999	0.865	6364
Propionibacteriales	85009	424.28	0.638	530
Actinomycetales	2037	397.18	0.596	3204
Alteromonadales	135622	323.97	0.48700000000000004	710
Rhodospirillales	204441	201.82	0.303	1836
Clostridiales	186802	155.4	0.234	1562
Burkholderiales	80840	153.97	0.231	2566
Caulobacterales	204458	98.97	0.149	42
Bacteroidales	171549	96.75	0.145	268
Oceanospirillales	135619	86.07	0.129	12
Rhizobiales	356	83.87	0.126	38
