Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Aerococcus viridans	1377	7344.25	11.033	95677
Pseudomonas sp. 1-7	633150	6456.42	9.699	154984
Micrococcus luteus	1270	6189.47	9.298	7123
Acinetobacter lwoffii	28090	4845.17	7.278999999999999	5357
Acinetobacter sp. CIP 101966	1144662	4602.98	6.915	4340
Acinetobacter johnsonii	40214	4247.3	6.381	18243
Acinetobacter idrijaensis	1507807	2972.79	4.466	4507
Corynebacterium pseudogenitalium	38303	2282.49	3.4290000000000003	17014
Pseudomonas aeruginosa	287	2171.65	3.2620000000000005	651
Corynebacterium tuberculostearicum	38304	2143.75	3.221	12569
Acinetobacter schindleri	108981	1881.83	2.827	6283
Pseudomonas alcaliphila	101564	1570.18	2.359	10208
Pseudomonas mendocina	300	1444.2	2.17	5772
Acinetobacter towneri	202956	1369.75	2.0580000000000003	47
Staphylococcus capitis	29388	1221.36	1.8350000000000002	397
Staphylococcus epidermidis	1282	955.69	1.436	16
Jeotgalicoccus psychrophilus	157228	814.57	1.224	14131
Aeromonas caviae	648	697.27	1.047	1903
Aerococcus urinaeequi	51665	672.98	1.011	6988
Empedobacter falsenii	343874	635.06	0.954	12153
Staphylococcus sp. JGI 0001002-I23	1157683	634.02	0.9520000000000001	115
Acinetobacter_u_s	469	591.9	0.889	60
Staphylococcus equorum	246432	538.19	0.8089999999999999	1643
Aeromonas sp. HZM	1454008	493.12	0.741	947
Staphylococcus haemolyticus	1283	493.46	0.741	336
Corynebacterium massiliense	441501	437.1	0.657	8573
Staphylococcus_u_s	1279	429.09	0.645	476
Jeotgalicoccus marinus	516700	366.15	0.5499999999999999	6297
Propionibacteriaceae_u_s	31957	348.56	0.524	46
Acinetobacter junii	40215	339.23	0.51	19
Shewanella_u_s	22	323.97	0.48700000000000004	710
Staphylococcus cohnii	29382	297.38	0.447	499
Finegoldia magna	1260	253.16	0.38	60
Brochothrix thermosphacta	2756	247.61	0.372	4842
Streptococcus_u_s	1301	246.36	0.37	67
Mobiluncus_u_s	2050	241.96	0.363	30
Staphylococcus massiliensis	555791	229.46	0.345	3327
Leclercia adecarboxylata	83655	216.64	0.325	5102
Acinetobacter pittii	48296	206.91	0.311	183
Enhydrobacter aerosaccus	225324	201.82	0.303	1836
Anaerococcus prevotii	33034	198.04	0.298	39
Acinetobacter baumannii	470	194.75	0.293	2463
Staphylococcus saprophyticus	29385	191.03	0.28700000000000003	285
Rothia_u_s	32207	186.89	0.281	8
Pseudomonas stutzeri	316	173.74	0.261	81
Corynebacterium pyruviciproducens	598660	163.27	0.245	3610
Actinomyces neuii	33007	155.22	0.233	3174
Comamonas aquatica	225991	153.97	0.231	2566
Acinetobacter calcoaceticus/baumannii complex	909768	149.94	0.22499999999999998	15
Exiguobacterium_u_s	33986	143.3	0.215	1516
Enterococcus faecium	1352	140.28	0.211	10
Staphylococcus lentus	42858	139.73	0.21	2651
Peptoniphilus_u_s	162289	133.47	0.201	472
Staphylococcus xylosus	1288	133.08	0.2	749
Pseudomonas_u_s	286	132.59	0.199	18
Kocuria rhizophila	72000	130.82	0.197	1294
Aeromonas_u_s	642	120.58	0.181	61
Acinetobacter haemolyticus	29430	119.63	0.18	50
Staphylococcus pettenkoferi	170573	119.06	0.179	2666
Staphylococcus hominis	1290	108.66	0.163	61
Anaerococcus_u_s	165779	105.15	0.158	45
Brevibacterium ravenspurgense	479117	103.28	0.155	2516
Klebsiella_u_s	570	100	0.15	408
Brevundimonas_u_s	41275	98.97	0.149	42
Corynebacterium jeikeium	38289	98.66	0.148	1262
Porphyromonas uenonis	281920	96.75	0.145	268
Serratia marcescens	615	95.63	0.14400000000000002	833
Corynebacterium urealyticum	43771	93.65	0.14100000000000001	1141
Halomonas_u_s	2745	86.07	0.129	12
Lactobacillus_u_s	1578	84.33	0.127	19
Ochrobactrum_u_s	528	83.87	0.126	38
Peptoniphilus harei	54005	83.36	0.125	925
Enterobacter_u_s	547	82.39	0.124	15
Acinetobacter ursingii	108980	81.56	0.123	14
Escherichia coli	562	81.43	0.122	6
Pseudomonas bauzanensis	653930	80.53	0.121	3393
Streptococcus anginosus	1328	80.03	0.12	8
Staphylococcus lugdunensis	28035	79.2	0.11900000000000001	42
Clostridium perfringens	1502	78.31	0.11800000000000001	281
Levyella massiliensis	938289	77.09	0.116	1281
Staphylococcus pseudintermedius	283734	76.17	0.11399999999999999	622
Cutibacterium granulosum	33011	75.72	0.11399999999999999	484
