Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Aerococcus viridans ATCC 11563 = CCUG 4311	655812	7344.25	11.033	95677
Pseudomonas sp. 1-7_u_t	633150	6456.42	9.699	154984
Micrococcus luteus	1270	6189.47	9.298	7123
Acinetobacter lwoffii SH145	575588	4845.17	7.278999999999999	5357
Acinetobacter sp. CIP 101966_u_t	1144662	4602.98	6.915	4340
Acinetobacter johnsonii SH046	575586	4247.3	6.381	18243
Acinetobacter idrijaensis	1507807	2972.79	4.466	4507
Corynebacterium pseudogenitalium ATCC 33035	525264	2282.49	3.4290000000000003	17014
Pseudomonas aeruginosa	287	2171.65	3.2620000000000005	651
Corynebacterium tuberculostearicum SK141	553206	2143.75	3.221	12569
Acinetobacter schindleri NIPH 900	1217675	1881.83	2.827	6283
Pseudomonas alcaliphila 34	1248438	1570.18	2.359	10208
Pseudomonas mendocina EGD-AQ5	1390370	1444.2	2.17	5772
Acinetobacter towneri	202956	1369.75	2.0580000000000003	47
Staphylococcus capitis	29388	1221.36	1.8350000000000002	397
Staphylococcus epidermidis IS-K	904791	955.69	1.436	16
Jeotgalicoccus psychrophilus DSM 19085	1122129	814.57	1.224	14131
Aeromonas caviae Ae398	878320	697.27	1.047	1903
Aerococcus urinaeequi DSM 20341 = CCUG 28094	1120952	672.98	1.011	6988
Empedobacter falsenii	343874	635.06	0.954	12153
Staphylococcus sp. JGI 0001002-I23_u_t	1157683	634.02	0.9520000000000001	115
Acinetobacter_u_t	469	591.9	0.889	60
Staphylococcus equorum UMC-CNS-924	1357294	538.19	0.8089999999999999	1643
Aeromonas sp. HZM_u_t	1454008	493.12	0.741	947
Staphylococcus haemolyticus	1283	493.46	0.741	336
Corynebacterium massiliense DSM 45435	1121364	437.1	0.657	8573
Staphylococcus_u_t	1279	429.09	0.645	476
Jeotgalicoccus marinus DSM 19772	1122128	366.15	0.5499999999999999	6297
Propionibacteriaceae_u_t	31957	348.56	0.524	46
Acinetobacter junii	40215	339.23	0.51	19
Shewanella_u_t	22	323.97	0.48700000000000004	710
Staphylococcus cohnii hu-01	1415164	297.38	0.447	499
Finegoldia magna	1260	253.16	0.38	60
Brochothrix thermosphacta DSM 20171 = FSL F6-1036	1121126	247.61	0.372	4842
Streptococcus_u_t	1301	246.36	0.37	67
Mobiluncus_u_t	2050	241.96	0.363	30
Staphylococcus massiliensis	555791	229.46	0.345	3327
Leclercia adecarboxylata ATCC 23216 = NBRC 102595	911008	216.64	0.325	5102
Acinetobacter pittii	48296	206.91	0.311	183
Enhydrobacter aerosaccus SK60	553217	201.82	0.303	1836
Anaerococcus prevotii	33034	198.04	0.298	39
Acinetobacter baumannii 348935	1310605	194.75	0.293	2463
Staphylococcus saprophyticus	29385	191.03	0.28700000000000003	285
Rothia_u_t	32207	186.89	0.281	8
Pseudomonas stutzeri	316	173.74	0.261	81
Corynebacterium pyruviciproducens ATCC BAA-1742	1125779	163.27	0.245	3610
Actinomyces neuii BVS029A5	888439	155.22	0.233	3174
Comamonas aquatica DA1877	1457173	153.97	0.231	2566
Acinetobacter calcoaceticus/baumannii complex_u_t	909768	149.94	0.22499999999999998	15
Exiguobacterium_u_t	33986	143.3	0.215	1516
Enterococcus faecium	1352	140.28	0.211	10
Staphylococcus lentus F1142	1179226	139.73	0.21	2651
Peptoniphilus_u_t	162289	133.47	0.201	472
Staphylococcus xylosus	1288	133.08	0.2	749
Pseudomonas_u_t	286	132.59	0.199	18
Kocuria rhizophila	72000	130.82	0.197	1294
Aeromonas_u_t	642	120.58	0.181	61
Acinetobacter haemolyticus	29430	119.63	0.18	50
Staphylococcus pettenkoferi VCU012	904314	119.06	0.179	2666
Staphylococcus hominis	1290	108.66	0.163	61
Anaerococcus_u_t	165779	105.15	0.158	45
Brevibacterium ravenspurgense 5401308 = CCUG 53855	1176165	103.28	0.155	2516
Klebsiella_u_t	570	100	0.15	408
Brevundimonas_u_t	41275	98.97	0.149	42
Corynebacterium jeikeium	38289	98.66	0.148	1262
Porphyromonas uenonis	281920	96.75	0.145	268
Serratia marcescens	615	95.63	0.14400000000000002	833
Corynebacterium urealyticum	43771	93.65	0.14100000000000001	1141
Halomonas_u_t	2745	86.07	0.129	12
Lactobacillus_u_t	1578	84.33	0.127	19
Ochrobactrum_u_t	528	83.87	0.126	38
Peptoniphilus harei ACS-146-V-Sch2b	908338	83.36	0.125	925
Enterobacter_u_t	547	82.39	0.124	15
Acinetobacter ursingii	108980	81.56	0.123	14
Escherichia coli	562	81.43	0.122	6
Pseudomonas bauzanensis	653930	80.53	0.121	3393
Streptococcus anginosus	1328	80.03	0.12	8
Staphylococcus lugdunensis	28035	79.2	0.11900000000000001	42
Clostridium perfringens	1502	78.31	0.11800000000000001	281
Levyella massiliensis	938289	77.09	0.116	1281
Staphylococcus pseudintermedius	283734	76.17	0.11399999999999999	622
Cutibacterium granulosum	33011	75.72	0.11399999999999999	484
