Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Micrococcaceae	1268	68952.67000000001	17.344	1040228
Rhodobacteraceae	31989	50505.229999999996	12.704	2022920
Corynebacteriaceae	1653	48205.93000000001	12.126000000000001	805364
Moraxellaceae	468	45981.709999999985	11.567999999999998	136107
Propionibacteriaceae	31957	34980.810000000005	8.799	11318
Actinomycetaceae	2049	27435.48	6.902	389897
Staphylococcaceae	90964	22159.59	5.574999999999999	58079
Intrasporangiaceae	85021	11002.25	2.768	340185
Rhodospirillales_u_f	204441	7891.82	1.9849999999999999	122979
Veillonellaceae	31977	6447.27	1.6199999999999999	18687
Streptococcaceae	1300	5983.0599999999995	1.5059999999999996	25649
Aerococcaceae	186827	5879.38	1.478	72974
Pseudonocardiaceae	2070	4747.62	1.194	38382
Dermabacteraceae	85020	3730.12	0.938	79281
Bifidobacteriaceae	31953	3723.6899999999996	0.936	16668
Paenibacillaceae	186822	3609.56	0.9079999999999999	60556
Prevotellaceae	171552	3264.9800000000005	0.8200000000000002	23608
Peptoniphilaceae	1570339	3227.3	0.812	28699
Listeriaceae	186820	3134.49	0.788	61373
Microbacteriaceae	85023	3129.92	0.787	15960
Porphyromonadaceae	171551	3061.83	0.771	40641
Caulobacteraceae	76892	2608.6200000000003	0.657	111726
Brevibacteriaceae	85019	2582.15	0.6499999999999999	57952
Pseudomonadaceae	135621	2513.3900000000003	0.6320000000000001	18524
Flavobacteriaceae	49546	2375.25	0.5960000000000001	43098
Neisseriaceae	481	2118.08	0.5329999999999999	12948
Dietziaceae	85029	1809.77	0.455	40576
Alcaligenaceae	506	1399.9099999999999	0.353	3461
Rhizobiales_u_f	356	1220.67	0.307	249
Alphaproteobacteria_u_f	28211	1135.83	0.28600000000000003	30815
Leuconostocaceae	81850	1076.01	0.271	7645
Xanthomonadaceae	32033	971.11	0.24400000000000002	4161
Atopobiaceae	1643824	727.84	0.18299999999999997	11185
Rhizobiaceae	82115	724.72	0.182	2962
Pasteurellaceae	712	660.31	0.16699999999999998	2164
Carnobacteriaceae	186828	617.65	0.155	9556
Lactobacillaceae	33958	591.26	0.149	2497
Oxalobacteraceae	75682	590.59	0.149	10093
Candidatus Saccharibacteria_u_f	95818	534.94	0.134	1775
Selenomonadaceae	1843491	506.5	0.127	2312
Ruminococcaceae	541000	423.7	0.106	7218
Acetobacteraceae	433	372.48	0.093	682
Bacillales_u_f	1385	351.22	0.088	4386
Clostridiales_u_f	186802	336.47	0.08399999999999999	2309
Brucellaceae	118882	308.36	0.078	9152
Lachnospiraceae	186803	292.91	0.07400000000000001	1611
Erysipelotrichaceae	128827	273.31	0.06899999999999999	2117
Dermacoccaceae	145357	271.55999999999995	0.068	4115
Leptotrichiaceae	1129771	254.11	0.064	74
Enterococcaceae	81852	250.59	0.063	191
Shewanellaceae	267890	240.62	0.061	1294
Tannerellaceae	2005525	238.58	0.06	189
Aeromonadaceae	84642	227.5	0.056999999999999995	28
Enterobacteriaceae	543	219.20999999999998	0.056	79
Phyllobacteriaceae	69277	223.1	0.055999999999999994	181
Campylobacteraceae	72294	226.17	0.055999999999999994	201
Peptostreptococcaceae	186804	195.18	0.049	1620
Burkholderiaceae	119060	186.55	0.047	4564
Comamonadaceae	80864	173.93	0.044000000000000004	3052
Aurantimonadaceae	255475	152	0.038	3840
Gordoniaceae	85026	136.95	0.034	88
Fusobacteriaceae	203492	110.25	0.027999999999999997	124
Tissierellia_u_f	1737404	97.36	0.024	1387
Akkermansiaceae	1647988	93.72	0.024	1244
Coriobacteriaceae	84107	75.62	0.019	1572
